Text,Label,Kategori
Untuk rakyat atau untuk mereka?,1,bullying
Melindungi Pekerja!,0,non-bullying
Sudah disahkan!,0,non-bullying
Cipta Kerja sudah disetujui DPR,0,non-bullying
Tertib berdemokrasi,0,non-bullying
$0 - $0,1,bullying
Penetapan Peraturan Pemerintah Pengganti Undang-Undang Nomor 2 Tahun 2022 tentang Cipta Kerja atau Perpu Cipta Kerja oleh Presiden Joko Widodo pada tanggal 30 Desember 2022 lalu merupakan pelaksanaan dari Putusan Mahkamah Konstitusi (MK) Nomor 91/PUU-XVIII/2020 atas pengujian formil Undang-Undang Nomor 11 Tahun 2020 tentang Cipta Kerja (UU Cipta Kerja) Amar putusan MK tersebut antara lain memerintahkan kepada pembentuk undang-undang untuk melakukan perbaikan UU Cipta Kerja dalam jangka waktu paling lama 2 tahun sejak putusan MK diucapkan dan apabila dalam tenggang waktu tersebut tidak dilakukan perbaikan  maka UU Cipta Kerja menjadi inkonstitusional secara permanen Dalam rangka pelaksanaan putusan MK tersebut  telah dilakukan: a. Penetapan UU Nomor 13 Tahun 2022 tentang Perubahan Kedua Atas UU Nomor 12 Tahun 2011 tentang Pembentukan Peraturan Perundang-undangan  yang telah mengatur dan memuat metode omnibus dalam penyusunan undang-undang dan telah memperjelas partisipasi yang bermakna (meaningful participation) dalam pembentukan peraturan perundang-undangan-- Tag siapapun yang harus melihat post ini --,0,non-bullying
"BEM UI menyebut meme itu bukan sebuah umpatan  melainkan kritik yang tepat""Bagi saya itu bukan sebuah umpatan  tapi itu adalah kritik yang tepat "" kata Ketua BEM UI Melki Sedek Huang saat dihubungi  Kamis (23/3/2023)Melki menegaskan meme Puan berbadan tikus adalah ekspresi puncak kemarahan mahasiswa UI terkait disahkannya Peraturan Pemerintah Pengganti Undang-Undang (Perppu) Cipta Kerja  yang dinilai sama saja substansinya dengan UU Cipta Kerjaâ€œJadi visualisasi dan berbagai hal yang kami publikasikan itu menggambarkan seluruh kemarahan kita. Bahwa orang-orang yang di dalam (DPR) itu bukan lagi mewakili kita  tapi mewakili berbagai kepentingan-kepentingan yang jelas bukan kepentingan rakyat. Sehingga tidak pantas lagi mereka menggunakan kata-kata Dewan Perwakilan Rakyat "" ucap MelkiMelki lalu bicara soal demokrasi terkait dengan meme Puan berbadan tikus. Dia berpendapat semestinya seluruh partai politik pahamâ€œIni kritik yang tepat  ranah yang demokratis  dan harusnya seluruh partai politik paham betul bahwa dalam negara demokrasi yang paling tinggi adalah kedaulatan rakyat  bukan cuma kedaulatan oligarki "" ujar Melki""Kita tidak melihat suara-suara penting terkait penolakan Cipta Kerja dikumandangkan. Malah mengesahkan produk hukum yang inkonstitusional. Itu yang sebenarnya ingin disampaikan dari publikasi tersebut "" imbuh dia Sumber: Detik",1,bullying
NGERI CUMAN BEM UI YANG BERANI  BACKINGANNYA LANGSUNG TUHAN  .,1,bullying
[SIKAP PARTAI]  Perppu Cipta Kerja permudah PHK  pasangan kepada buruh menjadi tidak wajib!,0,non-bullying
Dukung PERPPU Cipta Kerja,0,non-bullying
